hop mean std delta norm_delta
6 72.5019137065 16.7140683753 0 0.576907534306
7 84.2175881068 18.669936602 11.7156744003 0.466718068961
8 358.000882467 45.4328977253 273.78329436 1.99810725314
9 371.412531535 42.1802148775 13.4116490682 0.450766913654
10 379.194609324 43.3975056079 7.78207778931 0.503714736216
